Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,8537.9293793322,9269.2696165299,9446.158001946,9421.2856547764,9590.6830990651,8706.725084347,7041.5694700617,7555.066809448,7958.6794919654,8030.8545797818,8528.983334461,9055.5911140532,9082.7411688443,9698.1348036075,10130.41306842,10376.9348875001,10544.6671254851,10672.1839436858,10076.187784535,10401.4804488927,13636.3466837798,12868.2109970281,13102.3345682658,14221.9925934886,15846.4764093173,17959.1785373542,19307.9954920205,20977.1105261075,23067.5653465171,19356.6723557874,20722.1038895508,22512.1596038712,23649.3666139101,24737.1717830704,24983.3790153356,22688.8782442968,22579.0934203237,
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,1550.3243149572,1651.4754770797,1752.9702927809,1867.1129875148,1994.5449196448,2144.8309713592,2322.9438530806,2556.8353008759,2804.7051308057,3215.4866719958,3179.2762715532,3297.998999212,3322.6682561193,3696.6631402627,3416.550062399,3156.4680594233,3328.6331919835,3617.25119349,4130.7508696709,5532.1508309389,6338.6198679395,6622.6856580438,7165.1344909772,7694.9379848748,8873.7691020151,9888.4893496444,10339.5210156776,11150.6900362788,11381.8215599869,12158.078848834,12350.9768428937,11914.8577643653,11682.084964717,11402.651522136,11812.4648870041,12239.8714974121,12717.1500052856,17287.9360211869,18456.6089774529,20505.947433679,21241.23669811,21497.5209065268,22506.3511419764,22009.2004332596,21996.4064912596,23405.4530158026,23719.1078819641,24301.2432520857,23652.3305303491,22037.1080100097,21921.5590634977,21523.9737238384,28815.527404385,28303.4672887287,28374.3579411203,29056.0906632751,28785.4776705382,
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.0200012196,485.6172766681,736.9753293553,978.5167280194,1097.644554612,1246.4971141002,1461.7505204703,1524.4120215233,1761.5376471886,2214.7322459187,2650.6426607979,2968.4118061197,3404.3216977157,4180.2921762581,5078.3145772091,4701.3344264135,4614.8290411405,5054.3253442376,4722.0134030673,5042.5822130461,5204.2437184117,4584.2425478176,4808.4054251477,
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.8405142801,1708.8483421621,1675.8389164419,1590.6124613474,1460.0754875078,1370.6720427292,1452.4470018171,1396.5021663727,1511.7702679813,1210.6115995678,1276.2880341,1244.3731852343,1479.3831415112,1819.525644123,2378.3392066022,3126.0717666525,3848.2159664874,4735.4848267369,6377.3697320123,5176.2638299699,6029.3967998293,6519.2301949889,6940.1592535974,7978.8726147108,8318.5126899268,5949.1063069975,4986.496176672,
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,304.917107254,316.4036061433,327.1268674684,336.9414661146,351.1611262696,377.5943051662,406.0979670736,420.4318881982,386.9532370109,396.6543062825,435.6904694156,474.4442162074,519.5635076681,605.9334407027,786.0690920439,885.98452906,717.0401828854,858.8280810868,980.8225092649,1074.2719648986,1350.9763795914,1307.2116883293,1183.1683168317,1212.9224371398,1315.2725027596,1268.1829481994,1343.7087186262,1586.4502065168,1758.9427352146,1979.3534602576,2202.3225558778,2326.8459027029,2666.9776705075,2833.061341187,2880.2111328183,2996.3829283495,3001.6651378723,2952.6021407363,2991.9249709055,3065.4922477053,3364.4237106524,3419.2757192608,3556.561825435,3679.9095232787,3831.5380185375,3933.332215464,4187.3780296959,4324.8764271616,4470.220795976,4258.7886114376,4344.1501766125,4516.2467496172,4673.6384804322,4688.5384434353,4852.2236660279,4849.9974950458,4744.7363974776,
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,1902.4021189224,1961.5381692465,2020.3859650335,2020.2652475245,2199.7270069118,2282.2165461624,2630.8504663295,2982.7497042611,2830.1886792453,3053.7037037037,3387.2727272727,3866.3003663004,4343.1734317343,5009.2936802974,5853.9325842697,6509.4339622642,7261.2781954887,8370.7865168539,8876.8656716418,9613.3828996283,11218.2178159868,13425.9769663942,14166.1712925391,15902.0203826211,17469.8255675877,18269.5355197019,20450.6645289464,22411.7956749468,24253.1755188784,25517.9217212488,26841.5197383946,27700.3095169516,28669.6822595785,30900.6948905109,31476.0631153068,33989.7223579821,44826.7890701658,48478.8832504091,51371.7408069836,54245.459737293,56284.1686478094,58883.9594265967,62583.1002034588,66111.7252270036,70359.3191088798,75882.0338560339,83912.6977976846,90849.5869806436,93605.7481653976,88463.3128161375,88207.3275597322,85973.158416455,85458.455507886,85748.0654143782,,,,
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,152.4618458034,162.6957054245,174.4933859873,184.2755350051,203.6011494537,223.2783299318,239.3749160472,255.847966443,210.1898901212,218.5558012079,225.7482985561,238.111700313,267.6869789187,263.2106120369,428.4328637987,480.05076425,533.6275534809,616.6670740015,702.4289172792,808.4191206125,811.7768958423,1031.5161614432,958.6879038507,909.8477610102,1013.8009374051,865.6901106352,624.715420031,672.5655910428,697.3705600781,701.4646141371,709.9488612434,764.1413320844,791.3804292586,788.3990281488,806.2214519071,887.4685242566,958.4737661775,1006.9647386991,1058.7187495043,1012.5097733213,1007.0028688845,958.2366524089,913.5756422723,917.3643104862,978.3346484819,1046.4273841432,1233.5944354379,1389.634888005,1736.9350510229,1776.8664756219,1981.1607045044,2377.6759179413,2645.2277526015,2947.9385262805,3124.0003098252,3077.0261991716,3104.956089141,
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,210.0274704295,204.9293015348,260.2252661271,291.9505890018,261.3310830557,260.9646925423,315.2773823792,346.8801003877,374.0832617582,403.0652523071,444.0262676018,503.4787661403,584.5506847714,772.8187913047,1000.634252691,1149.5861205932,1385.298529741,1560.8630604471,1737.3675521191,1901.001325044,1939.7908764715,2124.9629888796,2218.8905154592,1565.2978321106,1573.9671393322,1643.1965026761,1936.016335267,2081.665261869,2294.4016946603,2901.2854492707,3093.0374786382,3966.7954884916,2591.7971162781,2786.1713557448,3494.6405413511,4840.7877822321,5156.8054082658,5271.4111367233,5075.6311140883,3469.5039715162,3739.1190359679,3146.9501765492,2819.6495307119,3059.5875818904,3623.0476672932,4770.1827462882,5860.1459753466,7313.5579615595,8787.6103749883,8553.3804700727,11224.1540829355,13167.4728917533,12291.4668523291,12216.9044643396,12026.6173095243,8757.2062022872,8649.9484917506,
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7770.8152575791,7681.9819326898,7440.9574954993,7777.5544852479,8148.3824109253,8537.0561869315,9069.16890906,9549.8940789928,10727.5958385041,11200.5776328426,11567.6661219135,11513.9368638824,11675.3475419739,12028.4803385025,12868.7873273012,14223.2554405147,15439.9921465683,16381.4955640051,16613.7192186615,15922.9001328689,15959.0297922874,16610.4183520372,16536.2146421152,16326.9134788626,16261.7993189477,16129.0492827663,15891.6265491446,
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,1113.4024472082,1237.0792370243,1235.8920971509,1363.4530441229,1303.7394134418,1381.9721669313,1455.3083362206,1906.1929840541,2915.2665830592,6921.4364456066,7226.4308729155,8459.3242144142,9914.1238116941,10711.8660443789,14941.0623988482,25412.9949521137,21821.7949850132,20687.399753787,18123.8598938959,17332.9747852594,15694.5399936988,10211.5962849234,11591.7862731429,11006.8705102008,11869.9872742083,13604.1568256967,13901.7217323451,15270.4861206552,14572.1085346687,14117.3921420669,15929.1637617664,16789.0371707142,16656.0898805207,12690.6893244622,14097.9315882546,18008.4482589612,16468.1288626009,16846.0219841083,18555.5664851075,21896.6052658777,26102.1334542119,30980.9669198566,32672.3671711068,37951.2805959782,27965.4750379503,35268.1011703581,47017.0273004715,47651.2590896413,44597.279681535,41530.6689792581,30967.890506377,26939.4175086523,
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,331.5312268811,348.236452074,345.5152164205,374.7585489865,373.0604584263,368.633587243,416.9684060002,505.9227309406,548.754397259,520.4078194051,557.972148307,465.3885839326,471.839254161,449.6882539679,524.2981457797,588.593902705,609.343017575,692.1262063979,695.2902532515,751.5757717288,765.8632357657,807.9387672687,885.6382245309,997.7417140733,1097.457087621,1247.061391609,1335.456905886,1741.142551689,1795.1813072028,1770.2344965917,2178.9213830797,2458.0459761545,2422.0080157783,2350.8828892447,2504.7174065594,2615.3102200784,2773.5471353022,
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,57.9776818817,61.2422482773,64.7070068015,67.3758705909,71.6495191118,76.6772212316,83.7346999599,92.6258754026,101.4765519808,114.8342053305,138.3633259793,176.6637969929,222.4694499801,317.6646402758,384.4187545682,430.0741230663,433.6515140615,506.3237593877,636.4664376838,850.348695778,1059.6967003512,1034.1532180269,943.3196682373,1052.732039156,1077.742540343,937.4744617826,1135.1674439932,1554.4199323613,2031.4182198375,2301.9897261452,2750.9500257402,2783.0215032752,2848.2069868798,2783.2379312319,2779.1138317416,3014.8678581542,3022.176753232,3065.527267952,2869.182503359,3226.2956741068,3349.0688227765,3128.0977926045,3055.6183824715,4163.0659057845,4896.5838348113,5351.2537317165,5374.5548669078,5714.0479369416,5623.3795661359,5185.7298453814,6346.1562038735,7645.2146115132,7029.2314502403,7007.6257859018,7497.7623776357,6532.0446774913,6924.1497754805,
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,74.5959442514,80.5208019919,79.9677957744,81.5879156526,87.8587465028,91.3220540229,93.8448211707,95.3219206925,109.2477810372,104.9197036768,103.4098670271,108.0397857166,121.1997303811,140.0130735355,142.4427622691,187.6996489819,218.7506575985,240.3735876557,282.3812261036,315.8626112279,349.6099162054,296.0645947316,309.3677325726,264.1972435941,248.5851878224,328.3119197776,416.1188418694,435.8930918474,449.7829378253,429.5415540707,490.07456193,456.89778577,456.0741539956,401.9779715851,260.4835710612,332.6773771608,293.3188854137,266.6076446595,268.9004231291,271.8551165091,243.5429317438,243.1586486292,253.7068342826,286.250801904,313.2105980447,327.1149460789,347.6073677663,397.1480466633,456.8614333977,449.9601839092,446.4434493752,494.3306778865,486.4101139662,337.4849613983,377.1320274197,348.3814170337,382.2131743177,
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,2294.5688142158,2231.2938237478,2255.2300441304,2354.8391219798,2529.5181790541,2739.5858492819,3010.7059075795,3173.0761935223,3411.0601543446,3703.9904052553,4121.9328092489,4586.2558480315,5141.6167249519,5870.6005636841,7043.4743508384,7489.9405311583,8783.7215920411,8892.7616798895,9096.0587223253,10012.4439669407,11135.4379854841,12297.7856877506,12439.7478409307,13377.8956545368,13826.6499923594,14060.4617782265,14403.8287021822,16245.4516791506,18864.2629180983,20638.2900486958,21371.2910981421,21664.598643531,20771.2503529737,20017.4298480977,19859.2039778368,20577.4893858895,21183.2200827089,21770.1340814172,20887.8394667666,22167.2258498882,24124.169174631,23691.5947188738,24167.8043060561,28172.1488309084,31979.8719510723,36189.5883840265,40386.6994835116,44544.5268004039,46596.3359912609,40773.4543637445,47447.4760241936,52082.2107601003,52496.6948704709,52413.7211560786,50440.4337553383,43315.7004418128,42157.9279910146,
